,/Users/pslive1/Documents/Walk_Projext/BDL037_Suna_Walk_Take2/BDL037_Suna_EyeTracking_Walk2_Render/BDL037_Suna_EyeTracking_Walk2_Render.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes,all_classes,fixation_classes,fixation_classes_no_background,union_areas,percentage_area
10,BDL037_Suna_EyeTracking_Walk2_Render.mov,10,fixation,160,5273.333333,5475.0,201.666667,4971.666667,00:00:05.34000,233.48,230.25,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical,person: 1.0 background: 0.0,person: 1.0,0.9593522135416667,person:0.4123079427083333 building:0.03456380208333333 plant_vertical:0.034303385416666665 pavement:0.41796549479166667 plant_horizontal:0.07821614583333333
11,BDL037_Suna_EyeTracking_Walk2_Render.mov,11,fixation,168,5575.0,5708.333333,133.333333,5240.0,00:00:05.60800,390.65,248.28,-1000.0,-1000.0,,,,,,,,
12,BDL037_Suna_EyeTracking_Walk2_Render.mov,12,fixation,174,5741.666667,5975.0,233.333333,5440.0,00:00:05.80800,266.46,288.87,-1000.0,-1000.0,,,,,,,,
13,BDL037_Suna_EyeTracking_Walk2_Render.mov,13,fixation,186,6041.666667,6441.666667,400.0,5840.0,00:00:06.20800,217.79,230.25,-1000.0,-1000.0,,,,,,,,
14,BDL037_Suna_EyeTracking_Walk2_Render.mov,14,fixation,223,7210.0,7776.666667,566.666667,7075.0,00:00:07.44300,276.34,439.5,-1000.0,-1000.0,,,,,,,,
15,BDL037_Suna_EyeTracking_Walk2_Render.mov,15,fixation,236,7843.333333,7976.666667,133.333333,7508.333333,00:00:07.87700,297.97,404.63,-1000.0,-1000.0,,,,,,,,
16,BDL037_Suna_EyeTracking_Walk2_Render.mov,16,fixation,247,8245.0,8345.0,100.0,7876.666667,00:00:08.24500,201.05,347.91,-1000.0,-1000.0,,,,,,,,
17,BDL037_Suna_EyeTracking_Walk2_Render.mov,17,fixation,275,8978.333333,9480.0,501.666667,8810.0,00:00:09.17800,245.05,388.08,-1000.0,-1000.0,,,,,,,,
18,BDL037_Suna_EyeTracking_Walk2_Render.mov,18,fixation,287,9580.0,9680.0,100.0,9211.666667,00:00:09.58000,286.89,342.53,-1000.0,-1000.0,,,,,,,,
19,BDL037_Suna_EyeTracking_Walk2_Render.mov,19,fixation,293,9746.666667,9880.0,133.333333,9411.666667,00:00:09.78000,297.17,326.03,-1000.0,-1000.0,,,,,,,,
20,BDL037_Suna_EyeTracking_Walk2_Render.mov,20,fixation,299,9913.333333,10146.666667,233.333333,9611.666667,00:00:09.98000,399.52,384.46,-1000.0,-1000.0,,,,,,,,
21,BDL037_Suna_EyeTracking_Walk2_Render.mov,21,fixation,308,10180.0,10446.666667,266.666667,9911.666667,00:00:10.28000,285.05,313.43,-1000.0,-1000.0,,,,,,,,
22,BDL037_Suna_EyeTracking_Walk2_Render.mov,22,fixation,323,10748.333333,10915.0,166.666667,10413.333333,00:00:10.78200,248.83,380.83,-1000.0,-1000.0,,,,,,,,
23,BDL037_Suna_EyeTracking_Walk2_Render.mov,23,fixation,335,11115.0,11348.333333,233.333333,10813.333333,00:00:11.18200,189.64,409.72,-1000.0,-1000.0,,,,,,,,
24,BDL037_Suna_EyeTracking_Walk2_Render.mov,24,fixation,343,11415.0,11548.333333,133.333333,11080.0,00:00:11.44800,173.76,228.3,-1000.0,-1000.0,,,,,,,,
25,BDL037_Suna_EyeTracking_Walk2_Render.mov,25,fixation,347,11548.333333,11715.0,166.666667,11213.333333,00:00:11.58200,152.87,295.79,-1000.0,-1000.0,,,,,,,,
26,BDL037_Suna_EyeTracking_Walk2_Render.mov,26,fixation,354,11781.666667,11915.0,133.333333,11446.666667,00:00:11.81500,201.31,394.14,-1000.0,-1000.0,,,,,,,,
27,BDL037_Suna_EyeTracking_Walk2_Render.mov,27,fixation,359,11948.333333,12116.666667,168.333333,11613.333333,00:00:11.98200,157.86,218.29,-1000.0,-1000.0,,,,,,,,
28,BDL037_Suna_EyeTracking_Walk2_Render.mov,28,fixation,368,12216.666667,12416.666667,200.0,11915.0,00:00:12.28300,156.51,224.53,-1000.0,-1000.0,,,,,,,,
29,BDL037_Suna_EyeTracking_Walk2_Render.mov,29,fixation,373,12416.666667,12550.0,133.333333,12081.666667,00:00:12.45000,224.76,316.29,-1000.0,-1000.0,,,,,,,,
30,BDL037_Suna_EyeTracking_Walk2_Render.mov,30,fixation,382,12716.666667,12850.0,133.333333,12381.666667,00:00:12.75000,156.41,401.24,-1000.0,-1000.0,,,,,,,,
31,BDL037_Suna_EyeTracking_Walk2_Render.mov,31,fixation,386,12850.0,13016.666667,166.666667,12515.0,00:00:12.88300,155.63,227.77,-1000.0,-1000.0,,,,,,,,
32,BDL037_Suna_EyeTracking_Walk2_Render.mov,32,fixation,398,13283.333333,13385.0,101.666667,12915.0,00:00:13.28300,130.47,289.54,-1000.0,-1000.0,,,,,,,,
33,BDL037_Suna_EyeTracking_Walk2_Render.mov,33,fixation,408,13585.0,13718.333333,133.333333,13250.0,00:00:13.61800,270.82,375.94,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.952294921875,plant_horizontal:0.06821289062500001 pavement:0.15374674479166667 person:0.3782877604166667 plant_vertical:0.12063802083333333 building:0.10650390625 sky:0.14430338541666665
34,BDL037_Suna_EyeTracking_Walk2_Render.mov,34,fixation,412,13718.333333,13885.0,166.666667,13383.333333,00:00:13.75200,260.75,352.73,-1000.0,-1000.0,,,,,,,,
35,BDL037_Suna_EyeTracking_Walk2_Render.mov,35,fixation,426,14151.666667,14351.666667,200.0,13850.0,00:00:14.21800,224.27,386.25,-1000.0,-1000.0,,,,,,,,
36,BDL037_Suna_EyeTracking_Walk2_Render.mov,36,fixation,434,14485.0,14585.0,100.0,14116.666667,00:00:14.48500,248.03,456.24,-1000.0,-1000.0,,,,,,,,
37,BDL037_Suna_EyeTracking_Walk2_Render.mov,37,fixation,448,14853.333333,15120.0,266.666667,14585.0,00:00:14.95300,245.18,461.17,-1000.0,-1000.0,,,,,,,,
38,BDL037_Suna_EyeTracking_Walk2_Render.mov,38,fixation,455,15120.0,15353.333333,233.333333,14818.333333,00:00:15.18700,201.21,243.57,-1000.0,-1000.0,,,,,,,,
39,BDL037_Suna_EyeTracking_Walk2_Render.mov,39,fixation,472,15420.0,16155.0,735.0,15385.0,00:00:15.75300,195.39,351.85,-1000.0,-1000.0,,,,,,,,
40,BDL037_Suna_EyeTracking_Walk2_Render.mov,40,fixation,490,16255.0,16555.0,300.0,15986.666667,00:00:16.35500,231.84,339.49,-1000.0,-1000.0,,,,,,,,
41,BDL037_Suna_EyeTracking_Walk2_Render.mov,41,fixation,506,16821.666666999998,17055.0,233.333333,16520.0,00:00:16.88800,163.85,310.66,-1000.0,-1000.0,,,,,,,,
42,BDL037_Suna_EyeTracking_Walk2_Render.mov,42,fixation,520,17355.0,17456.666666999998,101.666667,16986.666666999998,00:00:17.35500,202.37,328.48,-1000.0,-1000.0,,,,,,,,
43,BDL037_Suna_EyeTracking_Walk2_Render.mov,43,fixation,533,17790.0,17890.0,100.0,17421.666666999998,00:00:17.79000,169.43,302.02,-1000.0,-1000.0,,,,,,,,
44,BDL037_Suna_EyeTracking_Walk2_Render.mov,44,fixation,546,18090.0,18456.666666999998,366.666667,17855.0,00:00:18.22300,227.04,458.82,-1000.0,-1000.0,,,,,,,,
45,BDL037_Suna_EyeTracking_Walk2_Render.mov,45,fixation,573,19058.333333000002,19258.333333000002,200.0,18756.666666999998,00:00:19.12500,447.29,181.81,-1000.0,-1000.0,,,,,,,,
46,BDL037_Suna_EyeTracking_Walk2_Render.mov,46,fixation,578,19291.666666999998,19391.666666999998,100.0,18923.333333000002,00:00:19.29200,414.61,154.19,-1000.0,-1000.0,,,,,,,,
47,BDL037_Suna_EyeTracking_Walk2_Render.mov,47,fixation,583,19391.666666999998,19625.0,233.333333,19090.0,00:00:19.45800,392.97,188.74,-1000.0,-1000.0,,,,,,,,
48,BDL037_Suna_EyeTracking_Walk2_Render.mov,48,fixation,616,20326.666666999998,20860.0,533.333333,20191.666666999998,00:00:20.56000,243.73,271.38,-1000.0,-1000.0,,,,,,,,
49,BDL037_Suna_EyeTracking_Walk2_Render.mov,49,fixation,645,21126.666666999998,22028.333333000002,901.666667,21160.0,00:00:21.52800,349.62,153.06,-1000.0,-1000.0,,,,,,,,
50,BDL037_Suna_EyeTracking_Walk2_Render.mov,50,fixation,664,22128.333333000002,22261.666666999998,133.333333,21793.333333000002,00:00:22.16200,410.26,157.27,-1000.0,-1000.0,,,,,,,,
51,BDL037_Suna_EyeTracking_Walk2_Render.mov,51,fixation,685,22830.0,22963.333333000002,133.333333,22495.0,00:00:22.86300,379.74,163.36,-1000.0,-1000.0,,,,,,,,
52,BDL037_Suna_EyeTracking_Walk2_Render.mov,52,fixation,708,23530.0,23796.666666999998,266.666667,23261.666666999998,00:00:23.63000,280.0,284.03,-1000.0,-1000.0,,,,,,,,
53,BDL037_Suna_EyeTracking_Walk2_Render.mov,53,fixation,753,23896.666666999998,26433.333333000002,2536.666667,24763.333333000002,00:00:25.13200,261.68,194.48,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical,person: 1.0 background: 0.0,person: 1.0,0.9737923177083333,person:0.3757454427083333 pavement:0.41593098958333335 building:0.07759765625000001 plant_vertical:0.020572916666666666 plant_horizontal:0.098388671875
54,BDL037_Suna_EyeTracking_Walk2_Render.mov,54,fixation,824,27068.333333,28035.0,966.666667,27133.333333,00:00:27.50200,169.6,52.68,-1000.0,-1000.0,,,,,,,,
55,BDL037_Suna_EyeTracking_Walk2_Render.mov,55,fixation,848,28170.0,28503.333333,333.333333,27935.0,00:00:28.30300,224.79,149.74,-1000.0,-1000.0,,,,,,,,
56,BDL037_Suna_EyeTracking_Walk2_Render.mov,56,fixation,856,28536.666667,28670.0,133.333333,28201.666667,00:00:28.57000,264.96,178.53,-1000.0,-1000.0,,,,,,,,
57,BDL037_Suna_EyeTracking_Walk2_Render.mov,57,fixation,877,29203.333333,29405.0,201.666667,28901.666667,00:00:29.27000,230.58,222.04,-1000.0,-1000.0,,,,,,,,
58,BDL037_Suna_EyeTracking_Walk2_Render.mov,58,fixation,886,29505.0,29705.0,200.0,29203.333333,00:00:29.57200,209.97,198.75,-1000.0,-1000.0,,,,,,,,
59,BDL037_Suna_EyeTracking_Walk2_Render.mov,59,fixation,899,30005.0,30105.0,100.0,29636.666667,00:00:30.00500,50.64,138.98,-1000.0,-1000.0,,,,,,,,
60,BDL037_Suna_EyeTracking_Walk2_Render.mov,60,fixation,909,30305.0,30438.333333,133.333333,29970.0,00:00:30.33800,99.14,252.94,-1000.0,-1000.0,,,,,,,,
61,BDL037_Suna_EyeTracking_Walk2_Render.mov,61,fixation,914,30471.666667,30638.333333,166.666667,30136.666667,00:00:30.50500,98.57,294.07,-1000.0,-1000.0,,,,,,,,
62,BDL037_Suna_EyeTracking_Walk2_Render.mov,62,fixation,946,31540.0,31706.666667,166.666667,31205.0,00:00:31.57300,168.78,110.75,-1000.0,-1000.0,,,,,,,,
63,BDL037_Suna_EyeTracking_Walk2_Render.mov,63,fixation,953,31773.333333,31940.0,166.666667,31438.333333,00:00:31.80700,146.26,128.2,-1000.0,-1000.0,,,,,,,,
64,BDL037_Suna_EyeTracking_Walk2_Render.mov,64,fixation,1007,33610.0,33710.0,100.0,33241.666667000005,00:00:33.61000,229.05,441.38,-1000.0,-1000.0,,,,,,,,
65,BDL037_Suna_EyeTracking_Walk2_Render.mov,65,fixation,1025,34143.333332999995,34376.666667000005,233.333333,33841.666667000005,00:00:34.21000,282.4,398.15,-1000.0,-1000.0,,,,,,,,
66,BDL037_Suna_EyeTracking_Walk2_Render.mov,66,fixation,1030,34376.666667000005,34476.666667000005,100.0,34008.333332999995,00:00:34.37700,245.89,361.71,-1000.0,-1000.0,,,,,,,,
67,BDL037_Suna_EyeTracking_Walk2_Render.mov,67,fixation,1043,34778.333332999995,34911.666667000005,133.333333,34443.333332999995,00:00:34.81200,273.92,346.09,-1000.0,-1000.0,,,,,,,,
68,BDL037_Suna_EyeTracking_Walk2_Render.mov,68,fixation,1051,34978.333332999995,35245.0,266.666667,34710.0,00:00:35.07800,199.41,341.54,-1000.0,-1000.0,,,,,,,,
69,BDL037_Suna_EyeTracking_Walk2_Render.mov,69,fixation,1060,35345.0,35478.333332999995,133.333333,35010.0,00:00:35.37800,237.07,416.95,-1000.0,-1000.0,,,,,,,,
70,BDL037_Suna_EyeTracking_Walk2_Render.mov,70,fixation,1070,35678.333332999995,35811.666667000005,133.333333,35343.333332999995,00:00:35.71200,202.66,278.66,-1000.0,-1000.0,,,,,,,,
71,BDL037_Suna_EyeTracking_Walk2_Render.mov,71,fixation,1089,36246.666667000005,36513.333332999995,266.666667,35978.333332999995,00:00:36.34700,240.9,274.05,-1000.0,-1000.0,,,,,,,,
72,BDL037_Suna_EyeTracking_Walk2_Render.mov,72,fixation,1108,36946.666667000005,37113.333332999995,166.666667,36611.666667000005,00:00:36.98000,232.68,281.88,-1000.0,-1000.0,,,,,,,,
73,BDL037_Suna_EyeTracking_Walk2_Render.mov,73,fixation,1115,37180.0,37346.666667000005,166.666667,36845.0,00:00:37.21300,284.68,284.12,-1000.0,-1000.0,,,,,,,,
74,BDL037_Suna_EyeTracking_Walk2_Render.mov,74,fixation,1128,37346.666667000005,38015.0,668.333333,37280.0,00:00:37.64800,253.4,274.14,-1000.0,-1000.0,,,,,,,,
75,BDL037_Suna_EyeTracking_Walk2_Render.mov,75,fixation,1151,38348.333332999995,38548.333332999995,200.0,38046.666667000005,00:00:38.41500,291.93,280.82,-1000.0,-1000.0,,,,,,,,
76,BDL037_Suna_EyeTracking_Walk2_Render.mov,76,fixation,1164,38783.333332999995,38983.333332999995,200.0,38481.666667000005,00:00:38.85000,233.58,417.57,-1000.0,-1000.0,,,,,,,,
77,BDL037_Suna_EyeTracking_Walk2_Render.mov,77,fixation,1170,38983.333332999995,39216.666667000005,233.333333,38681.666667000005,00:00:39.05000,244.83,402.27,-1000.0,-1000.0,,,,,,,,
78,BDL037_Suna_EyeTracking_Walk2_Render.mov,78,fixation,1175,39216.666667000005,39316.666667000005,100.0,38848.333332999995,00:00:39.21700,251.14,433.94,-1000.0,-1000.0,,,,,,,,
79,BDL037_Suna_EyeTracking_Walk2_Render.mov,79,fixation,1179,39316.666667000005,39483.333332999995,166.666667,38981.666667000005,00:00:39.35000,266.23,454.05,-1000.0,-1000.0,,,,,,,,
80,BDL037_Suna_EyeTracking_Walk2_Render.mov,80,fixation,1187,39616.666667000005,39716.666667000005,100.0,39248.333332999995,00:00:39.61700,246.29,371.43,-1000.0,-1000.0,,,,,,,,
81,BDL037_Suna_EyeTracking_Walk2_Render.mov,81,fixation,1191,39716.666667000005,39883.333332999995,166.666667,39381.666667000005,00:00:39.75000,243.15,349.37,-1000.0,-1000.0,,,,,,,,
82,BDL037_Suna_EyeTracking_Walk2_Render.mov,82,fixation,1205,40185.0,40351.666667000005,166.666667,39850.0,00:00:40.21800,249.49,275.74,-1000.0,-1000.0,,,,bench_chair bench_chair building pavement person person plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical pole,plant_horizontal: 1.0 background: 0.0,plant_horizontal: 1.0,0.8651009114583333,person:0.35357421875 pavement:0.07328125 pole:0.0030989583333333333 building:0.070302734375 plant_vertical:0.031227213541666667 bench_chair:0.01845052083333333 plant_horizontal:0.40046875
83,BDL037_Suna_EyeTracking_Walk2_Render.mov,83,fixation,1213,40451.666667000005,40585.0,133.333333,40116.666667000005,00:00:40.48500,266.23,308.24,-1000.0,-1000.0,,,,,,,,
84,BDL037_Suna_EyeTracking_Walk2_Render.mov,84,fixation,1222,40751.666667000005,40918.333332999995,166.666667,40416.666667000005,00:00:40.78500,246.32,407.0,-1000.0,-1000.0,,,,,,,,
85,BDL037_Suna_EyeTracking_Walk2_Render.mov,85,fixation,1237,40918.333332999995,41753.333332999995,835.0,40916.666667000005,00:00:41.28500,221.19,386.84,-1000.0,-1000.0,,,,bench_chair bench_chair building pavement person person plant_horizontal plant_horizontal plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical pole sky,plant_horizontal: 1.0 background: 0.0,plant_horizontal: 1.0,0.889931640625,person:0.30054036458333333 pole:0.0018782552083333333 building:0.12919270833333332 plant_vertical:0.031549479166666665 pavement:0.075732421875 bench_chair:0.015608723958333334 sky:0.039358723958333335 plant_horizontal:0.314794921875
86,BDL037_Suna_EyeTracking_Walk2_Render.mov,86,fixation,1261,41920.0,42320.0,400.0,41718.333332999995,00:00:42.08700,213.71,305.24,-1000.0,-1000.0,,,,,,,,
87,BDL037_Suna_EyeTracking_Walk2_Render.mov,87,fixation,1286,42921.666667000005,43021.666667000005,100.0,42553.333332999995,00:00:42.92200,187.49,458.2,-1000.0,-1000.0,,,,bench_chair bench_chair building pavement person plant_horizontal plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical pole sky,person: 1.0 background: 0.0,person: 1.0,0.8457942708333334,person:0.28747395833333333 pavement:0.08080403645833334 pole:0.003837890625 building:0.113994140625 plant_vertical:0.026412760416666667 bench_chair:0.017991536458333332 sky:0.07433268229166666 plant_horizontal:0.2633821614583333
88,BDL037_Suna_EyeTracking_Walk2_Render.mov,88,fixation,1296,43188.333332999995,43388.333332999995,200.0,42886.666667000005,00:00:43.25500,164.9,373.19,-1000.0,-1000.0,,,,,,,,
89,BDL037_Suna_EyeTracking_Walk2_Render.mov,89,fixation,1313,43488.333332999995,44256.666667000005,768.333333,43453.333332999995,00:00:43.82200,148.03,281.94,-1000.0,-1000.0,,,,,,,,
90,BDL037_Suna_EyeTracking_Walk2_Render.mov,90,fixation,1331,44290.0,44623.333332999995,333.333333,44055.0,00:00:44.42300,188.21,371.9,-1000.0,-1000.0,,,,bench_chair bench_chair building person plant_horizontal plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical pole pole sky sky,person: 1.0 background: 0.0,person: 1.0,0.8914322916666667,person:0.2733203125 sky:0.02777994791666667 pole:0.0836328125 building:0.11811848958333333 plant_vertical:0.023994140625 bench_chair:0.01619140625 plant_horizontal:0.3679654947916666
91,BDL037_Suna_EyeTracking_Walk2_Render.mov,91,fixation,1346,44923.333332999995,45023.333332999995,100.0,44555.0,00:00:44.92300,211.64,387.57,-1000.0,-1000.0,,,,,,,,
92,BDL037_Suna_EyeTracking_Walk2_Render.mov,92,fixation,1360,45323.333332999995,45525.0,201.666667,45021.666667000005,00:00:45.39000,206.11,421.38,-1000.0,-1000.0,,,,,,,,
93,BDL037_Suna_EyeTracking_Walk2_Render.mov,93,fixation,1368,45625.0,45758.333332999995,133.333333,45290.0,00:00:45.65800,184.37,362.48,-1000.0,-1000.0,,,,bench_chair bench_chair building pavement person plant_horizontal plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical pole sky sky,person: 0.7941507311586051 background: 0.20584926884139482,person: 1.0,0.9020149739583333,person:0.35705403645833333 pavement:0.07028971354166667 sky:0.007864583333333335 pole:0.004130859375 building:0.07782552083333333 plant_vertical:0.023125 bench_chair:0.016650390625 plant_horizontal:0.3672591145833334
94,BDL037_Suna_EyeTracking_Walk2_Render.mov,94,fixation,1374,45825.0,45958.333332999995,133.333333,45490.0,00:00:45.85800,205.4,402.82,-1000.0,-1000.0,,,,,,,,
95,BDL037_Suna_EyeTracking_Walk2_Render.mov,95,fixation,1383,46125.0,46258.333332999995,133.333333,45790.0,00:00:46.15800,200.28,324.45,-1000.0,-1000.0,,,,,,,,
96,BDL037_Suna_EyeTracking_Walk2_Render.mov,96,fixation,1390,46358.333332999995,46491.666667000005,133.333333,46023.333332999995,00:00:46.39200,193.05,399.73,-1000.0,-1000.0,,,,,,,,
97,BDL037_Suna_EyeTracking_Walk2_Render.mov,97,fixation,1397,46558.333332999995,46793.333332999995,235.0,46256.666667000005,00:00:46.62500,212.85,335.06,-1000.0,-1000.0,,,,,,,,
98,BDL037_Suna_EyeTracking_Walk2_Render.mov,98,fixation,1404,46826.666667000005,46993.333332999995,166.666667,46491.666667000005,00:00:46.86000,226.15,383.14,-1000.0,-1000.0,,,,bench_chair bench_chair building pavement person plant_horizontal plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical pole sky sky,person: 0.595137420718816 plant_horizontal: 0.4048625792811839 background: 0.0,person: 0.595137420718816 plant_horizontal: 0.4048625792811839,0.867041015625,person:0.266513671875 sky:0.04096028645833333 pavement:0.083203125 pole:0.0037727864583333333 building:0.11796223958333334 plant_vertical:0.016796875 bench_chair:0.016477864583333335 plant_horizontal:0.3423274739583333
99,BDL037_Suna_EyeTracking_Walk2_Render.mov,99,fixation,1416,47226.666667000005,47360.0,133.333333,46891.666667000005,00:00:47.26000,233.6,258.81,-1000.0,-1000.0,,,,,,,,
100,BDL037_Suna_EyeTracking_Walk2_Render.mov,100,fixation,1430,47726.666667000005,47826.666667000005,100.0,47358.333332999995,00:00:47.72700,181.08,196.76,-1000.0,-1000.0,,,,,,,,
101,BDL037_Suna_EyeTracking_Walk2_Render.mov,101,fixation,1440,47993.333332999995,48195.0,201.666667,47691.666667000005,00:00:48.06000,150.06,215.12,-1000.0,-1000.0,,,,bench_chair bench_chair building pavement person plant_horizontal plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical pole sky sky,person: 1.0 background: 0.0,person: 1.0,0.8218587239583334,person:0.29927734375 sky:0.08108723958333333 pole:0.0032161458333333334 building:0.11524739583333334 plant_vertical:0.018196614583333333 bench_chair:0.016708984375 pavement:0.0759375 plant_horizontal:0.2328125
102,BDL037_Suna_EyeTracking_Walk2_Render.mov,102,fixation,1444,48195.0,48295.0,100.0,47826.666667000005,00:00:48.19500,122.11,349.06,-1000.0,-1000.0,,,,,,,,
103,BDL037_Suna_EyeTracking_Walk2_Render.mov,103,fixation,1448,48295.0,48428.333332999995,133.333333,47960.0,00:00:48.32800,187.04,419.36,-1000.0,-1000.0,,,,,,,,
104,BDL037_Suna_EyeTracking_Walk2_Render.mov,104,fixation,1454,48428.333332999995,48695.0,266.666667,48160.0,00:00:48.52800,155.34,422.59,-1000.0,-1000.0,,,,,,,,
105,BDL037_Suna_EyeTracking_Walk2_Render.mov,105,fixation,1479,49261.666667000005,49563.333332999995,301.666667,48993.333332999995,00:00:49.36200,233.02,287.99,-1000.0,-1000.0,,,,,,,,
106,BDL037_Suna_EyeTracking_Walk2_Render.mov,106,fixation,1490,49696.666667000005,49830.0,133.333333,49361.666667000005,00:00:49.73000,212.15,398.33,-1000.0,-1000.0,,,,,,,,
107,BDL037_Suna_EyeTracking_Walk2_Render.mov,107,fixation,1502,49996.666667000005,50330.0,333.333333,49761.666667000005,00:00:50.13000,186.36,333.72,-1000.0,-1000.0,,,,,,,,
108,BDL037_Suna_EyeTracking_Walk2_Render.mov,108,fixation,1517,50463.333332999995,50898.333332999995,435.0,50261.666667000005,00:00:50.63000,182.69,437.52,-1000.0,-1000.0,,,,,,,,
109,BDL037_Suna_EyeTracking_Walk2_Render.mov,109,fixation,1543,51365.0,51698.333332999995,333.333333,51130.0,00:00:51.49800,229.3,283.66,-1000.0,-1000.0,,,,,,,,
110,BDL037_Suna_EyeTracking_Walk2_Render.mov,110,fixation,1579,52600.0,52866.666667000005,266.666667,52331.666667000005,00:00:52.70000,303.75,62.97,-1000.0,-1000.0,,,,,,,,
111,BDL037_Suna_EyeTracking_Walk2_Render.mov,111,fixation,1605,53066.666667000005,54135.0,1068.333333,53200.0,00:00:53.56800,274.37,122.45,-1000.0,-1000.0,,,,,,,,
112,BDL037_Suna_EyeTracking_Walk2_Render.mov,112,fixation,1643,54701.666667,55036.666667,335.0,54468.333333,00:00:54.83700,283.67,148.84,-1000.0,-1000.0,,,,,,,,
113,BDL037_Suna_EyeTracking_Walk2_Render.mov,113,fixation,1672,55203.333333,56471.666667,1268.333333,55435.0,00:00:55.80300,308.31,254.38,-1000.0,-1000.0,,,,,,,,
114,BDL037_Suna_EyeTracking_Walk2_Render.mov,114,fixation,1700,56705.0,56871.666667,166.666667,56370.0,00:00:56.73800,256.02,144.85,-1000.0,-1000.0,,,,,,,,
115,BDL037_Suna_EyeTracking_Walk2_Render.mov,115,fixation,1707,56871.666667,57138.333333,266.666667,56603.333333,00:00:56.97200,270.07,140.81,-1000.0,-1000.0,,,,,,,,
